Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-01-03,997.5,1001.4000244140625,997.5,997.5,0,0,0
1984-01-04,997.5,999.5,993.2999877929688,998.5999755859375,0,0,0
1984-01-05,1007.0999755859375,1015.7999877929688,1007.0999755859375,1015.7999877929688,0,0,0
1984-01-06,1019.0,1029.300048828125,1019.0,1029.0,0,0,0
1984-01-09,1030.5999755859375,1035.4000244140625,1030.5999755859375,1034.5999755859375,0,0,0
1984-01-10,1034.5999755859375,1034.9000244140625,1029.9000244140625,1034.300048828125,0,0,0
1984-01-11,1033.5999755859375,1033.5999755859375,1021.4000244140625,1023.4000244140625,0,0,0
1984-01-12,1023.4000244140625,1031.300048828125,1020.2000122070312,1031.300048828125,0,0,0
1984-01-13,1033.0999755859375,1042.699951171875,1033.0999755859375,1042.699951171875,0,0,0
1984-01-16,1042.699951171875,1046.0,1039.0999755859375,1046.0,0,0,0
1984-01-17,1044.4000244140625,1044.4000244140625,1036.199951171875,1041.9000244140625,0,0,0
1984-01-18,1044.4000244140625,1058.699951171875,1044.4000244140625,1058.699951171875,0,0,0
1984-01-19,1058.699951171875,1060.199951171875,1053.9000244140625,1057.800048828125,0,0,0
1984-01-20,1057.800048828125,1060.5999755859375,1056.199951171875,1059.0,0,0,0
1984-01-23,1059.0,1059.0,1046.300048828125,1046.800048828125,0,0,0
1984-01-24,1046.800048828125,1055.199951171875,1039.9000244140625,1055.199951171875,0,0,0
1984-01-25,1058.199951171875,1073.5,1058.199951171875,1073.5,0,0,0
1984-01-26,1073.5,1074.800048828125,1069.0,1072.0999755859375,0,0,0
1984-01-27,1072.0999755859375,1075.9000244140625,1065.0,1075.9000244140625,0,0,0
1984-01-30,1075.9000244140625,1082.0,1068.5999755859375,1068.5999755859375,0,0,0
1984-01-31,1063.5,1063.5,1058.0,1063.0,0,0,0
1984-02-01,1062.5999755859375,1062.5999755859375,1060.300048828125,1060.300048828125,0,0,0
1984-02-02,1055.0,1055.0,1046.0,1050.800048828125,0,0,0
1984-02-03,1054.4000244140625,1060.199951171875,1054.4000244140625,1059.800048828125,0,0,0
1984-02-06,1054.199951171875,1054.199951171875,1038.199951171875,1038.199951171875,0,0,0
1984-02-07,1026.699951171875,1026.699951171875,1019.2000122070312,1021.7000122070312,0,0,0
1984-02-08,1026.699951171875,1034.5,1026.699951171875,1029.699951171875,0,0,0
1984-02-09,1016.9000244140625,1016.9000244140625,1010.0,1016.9000244140625,0,0,0
1984-02-10,1016.9000244140625,1020.7000122070312,1012.2999877929688,1018.0,0,0,0
1984-02-13,1018.2999877929688,1023.0,1018.2999877929688,1018.2999877929688,0,0,0
1984-02-14,1018.2999877929688,1027.0,1015.4000244140625,1027.0,0,0,0
1984-02-15,1031.699951171875,1036.800048828125,1031.699951171875,1033.0,0,0,0
1984-02-16,1033.0,1035.5999755859375,1030.4000244140625,1035.0,0,0,0
1984-02-17,1035.0,1039.0,1035.0,1039.0,0,0,0
1984-02-20,1038.699951171875,1038.699951171875,1034.199951171875,1035.4000244140625,0,0,0
1984-02-21,1038.4000244140625,1044.699951171875,1038.4000244140625,1044.4000244140625,0,0,0
1984-02-22,1044.4000244140625,1045.5,1040.699951171875,1043.0,0,0,0
1984-02-23,1042.0999755859375,1042.0999755859375,1031.699951171875,1031.699951171875,0,0,0
1984-02-24,1031.699951171875,1036.9000244140625,1030.800048828125,1036.9000244140625,0,0,0
1984-02-27,1038.800048828125,1044.300048828125,1038.800048828125,1041.300048828125,0,0,0
1984-02-28,1039.199951171875,1039.199951171875,1039.199951171875,1039.199951171875,0,0,0
1984-02-29,1039.199951171875,1040.5999755859375,1031.199951171875,1040.300048828125,0,0,0
1984-03-01,1042.0999755859375,1047.0999755859375,1042.0999755859375,1046.0999755859375,0,0,0
1984-03-02,1048.800048828125,1060.699951171875,1048.800048828125,1060.699951171875,0,0,0
1984-03-05,1053.699951171875,1053.699951171875,1053.699951171875,1053.699951171875,0,0,0
1984-03-06,1053.699951171875,1064.800048828125,1050.9000244140625,1064.5,0,0,0
